G,T,v,i
400,20,"[ 0. , 0.43564171, 0.87128341, 1.30692512, 1.74256683, 2.17820853, 2.61385024, 3.04949194, 3.48513365, 3.92077536, 4.35641706, 4.79205877, 5.22770048, 5.66334218, 6.09898389, 6.53462559, 6.9702673 , 7.40590901, 7.84155071, 8.27719242, 8.71283413, 9.14847583, 9.58411754, 10.01975924, 10.45540095, 10.89104266, 11.32668436, 11.76232607, 12.19796778, 12.63360948, 13.06925119, 13.50489289, 13.9405346 , 14.37617631, 14.81181801, 15.24745972, 15.68310143, 16.11874313, 16.55438484, 16.99002654, 17.42566825, 17.86130996, 18.29695166, 18.73259337, 19.16823508, 19.60387678, 20.03951849, 20.47516019, 20.9108019 , 21.34644361, 21.78208531, 22.21772702, 22.65336873, 23.08901043, 23.52465214, 23.96029385, 24.39593555, 24.83157726, 25.26721896, 25.70286067, 26.13850238, 26.57414408, 27.00978579, 27.4454275 , 27.8810692 , 28.31671091, 28.75235261, 29.18799432, 29.62363603, 30.05927773, 30.49491944, 30.93056115, 31.36620285, 31.80184456, 32.23748626, 32.67312797, 33.10876968, 33.54441138, 33.98005309, 34.4156948 , 34.8513365 , 35.28697821, 35.72261991, 36.15826162, 36.59390333, 37.02954503, 37.46518674, 37.90082845, 38.33647015, 38.77211186, 39.20775356, 39.64339527, 40.07903698, 40.51467868, 40.95032039, 41.3859621 , 41.8216038 , 42.25724551, 42.69288721, 43.12852892]","[ 2.06507805e+00, 2.06447136e+00, 2.06386468e+00, 2.06325800e+00, 2.06265132e+00, 2.06204463e+00, 2.06143795e+00, 2.06083127e+00, 2.06022458e+00, 2.05961790e+00, 2.05901122e+00, 2.05840453e+00, 2.05779785e+00, 2.05719116e+00, 2.05658448e+00, 2.05597779e+00, 2.05537111e+00, 2.05476442e+00, 2.05415773e+00, 2.05355104e+00, 2.05294434e+00, 2.05233764e+00, 2.05173094e+00, 2.05112424e+00, 2.05051753e+00, 2.04991081e+00, 2.04930408e+00, 2.04869734e+00, 2.04809059e+00, 2.04748381e+00, 2.04687702e+00, 2.04627020e+00, 2.04566334e+00, 2.04505644e+00, 2.04444948e+00, 2.04384246e+00, 2.04323535e+00, 2.04262813e+00, 2.04202078e+00, 2.04141327e+00, 2.04080554e+00, 2.04019755e+00, 2.03958924e+00, 2.03898051e+00, 2.03837128e+00, 2.03776140e+00, 2.03715073e+00, 2.03653905e+00, 2.03592613e+00, 2.03531164e+00, 2.03469520e+00, 2.03407631e+00, 2.03345437e+00, 2.03282861e+00, 2.03219807e+00, 2.03156155e+00, 2.03091756e+00, 2.03026424e+00, 2.02959923e+00, 2.02891961e+00, 2.02822174e+00, 2.02750103e+00, 2.02675178e+00, 2.02596682e+00, 2.02513725e+00, 2.02425187e+00, 2.02329674e+00, 2.02225440e+00, 2.02110305e+00, 2.01981544e+00, 2.01835752e+00, 2.01668675e+00, 2.01475003e+00, 2.01248105e+00, 2.00979704e+00, 2.00659480e+00, 2.00274563e+00, 1.99808925e+00, 1.99242621e+00, 1.98550858e+00, 1.97702865e+00, 1.96660524e+00, 1.95376720e+00, 1.93793389e+00, 1.91839223e+00, 1.89427032e+00, 1.86450789e+00, 1.82782411e+00, 1.78268441e+00, 1.72726855e+00, 1.65944360e+00, 1.57674697e+00, 1.47638554e+00, 1.35525812e+00, 1.21000767e+00, 1.03710765e+00, 8.32982860e-01, 5.94158493e-01, 3.17424958e-01, -2.17603713e-14]"
480,25,"[ 0.        ,  0.42967169,  0.85934338,  1.28901508,  1.71868677,
        2.14835846,  2.57803015,  3.00770185,  3.43737354,  3.86704523,
        4.29671692,  4.72638861,  5.15606031,  5.585732  ,  6.01540369,
        6.44507538,  6.87474707,  7.30441877,  7.73409046,  8.16376215,
        8.59343384,  9.02310554,  9.45277723,  9.88244892, 10.31212061,
       10.7417923 , 11.171464  , 11.60113569, 12.03080738, 12.46047907,
       12.89015076, 13.31982246, 13.74949415, 14.17916584, 14.60883753,
       15.03850923, 15.46818092, 15.89785261, 16.3275243 , 16.75719599,
       17.18686769, 17.61653938, 18.04621107, 18.47588276, 18.90555445,
       19.33522615, 19.76489784, 20.19456953, 20.62424122, 21.05391292,
       21.48358461, 21.9132563 , 22.34292799, 22.77259968, 23.20227138,
       23.63194307, 24.06161476, 24.49128645, 24.92095815, 25.35062984,
       25.78030153, 26.20997322, 26.63964491, 27.06931661, 27.4989883 ,
       27.92865999, 28.35833168, 28.78800337, 29.21767507, 29.64734676,
       30.07701845, 30.50669014, 30.93636184, 31.36603353, 31.79570522,
       32.22537691, 32.6550486 , 33.0847203 , 33.51439199, 33.94406368,
       34.37373537, 34.80340706, 35.23307876, 35.66275045, 36.09242214,
       36.52209383, 36.95176553, 37.38143722, 37.81110891, 38.2407806 ,
       38.67045229, 39.10012399, 39.52979568, 39.95946737, 40.38913906,
       40.81881075, 41.24848245, 41.67815414, 42.10782583, 42.53749752]","[2.48302277e+00, 2.48230479e+00, 2.48158681e+00, 2.48086883e+00,
       2.48015085e+00, 2.47943287e+00, 2.47871489e+00, 2.47799691e+00,
       2.47727893e+00, 2.47656095e+00, 2.47584297e+00, 2.47512499e+00,
       2.47440700e+00, 2.47368902e+00, 2.47297103e+00, 2.47225305e+00,
       2.47153506e+00, 2.47081706e+00, 2.47009907e+00, 2.46938107e+00,
       2.46866307e+00, 2.46794506e+00, 2.46722704e+00, 2.46650901e+00,
       2.46579097e+00, 2.46507292e+00, 2.46435485e+00, 2.46363675e+00,
       2.46291863e+00, 2.46220047e+00, 2.46148227e+00, 2.46076402e+00,
       2.46004570e+00, 2.45932729e+00, 2.45860879e+00, 2.45789015e+00,
       2.45717136e+00, 2.45645237e+00, 2.45573314e+00, 2.45501360e+00,
       2.45429369e+00, 2.45357331e+00, 2.45285234e+00, 2.45213066e+00,
       2.45140808e+00, 2.45068438e+00, 2.44995930e+00, 2.44923250e+00,
       2.44850356e+00, 2.44777198e+00, 2.44703710e+00, 2.44629814e+00,
       2.44555410e+00, 2.44480374e+00, 2.44404556e+00, 2.44327765e+00,
       2.44249766e+00, 2.44170266e+00, 2.44088903e+00, 2.44005226e+00,
       2.43918675e+00, 2.43828555e+00, 2.43734003e+00, 2.43633947e+00,
       2.43527057e+00, 2.43411681e+00, 2.43285768e+00, 2.43146774e+00,
       2.42991540e+00, 2.42816147e+00, 2.42615733e+00, 2.42384272e+00,
       2.42114288e+00, 2.41796522e+00, 2.41419507e+00, 2.40969048e+00,
       2.40427598e+00, 2.39773480e+00, 2.38979956e+00, 2.38014094e+00,
       2.36835421e+00, 2.35394312e+00, 2.33630114e+00, 2.31468969e+00,
       2.28821358e+00, 2.25579391e+00, 2.21613939e+00, 2.16771755e+00,
       2.10872819e+00, 2.03708271e+00, 1.95039364e+00, 1.84598001e+00,
       1.72089419e+00, 1.57197536e+00, 1.39593235e+00, 1.18945495e+00,
       9.49347642e-01, 6.72674232e-01, 3.56897921e-01, 1.80744308e-13]"